Avg. Area Income;Avg. Area Number of Rooms;Avg. Area Number of Bedrooms;Area Population;Price
East Russellmouth;;;;
7.854.532.417.405.730;63.356.926.642.664.100;4.21;34.477.465.862.849.800;1.167.621.046.449.690
Cheyennechester;;;;
7.189.347.207.708.350;8.126.888.592.585.140;4.22;19.033.611.178.212.600;9.958.497.751.098.220
"FPO AA 97030""";;;;
7.331.108.803.591.850;64.951.989.950.956.600;2.14;37.252.962.173.187.800;12.764.947.645.634.900
Kimville;;;;
7.750.480.423.447.820;7.288.819.155.970.830;5.29;41.864.786.244.777.200;16.491.566.076.317.300
New Jennifermouth;;;;
756.689.321.257.755;845.419.167.080.097;3.27;4.074.612.021.982.910;16.032.682.110.607.300
Zamorafurt;;;;
7.703.227.071.389.470;7.516.683.144.914.810;3.22;29.023.353.523.809.800;13.143.874.066.411.400
"DPO AE 86310-8698""";;;;
7.146.713.015.550.690;6.995.179.317.892.060;3.33;39.812.306.419.469.600;13.573.665.283.162.200
Robinsonmouth;;;;
7.018.900.591.076.640;6.120.781.744.820.110;4.26;53.705.131.732.074.700;13.080.173.142.391.700
Karenfort;;;;
7.708.554.710.721.410;6.197.942.058.654.520;4.44;21.287.442.518.803.400;12.460.152.968.581.100
Williamsfort;;;;
8.095.705.292.951.130;7.073.592.887.966.130;6.2;30.545.487.647.932.800;14.679.595.287.906.800
Kirkshire;;;;
5.698.683.313.076.880;7.883.280.645.802.280;5.17;4.392.110.884.181.890;12.393.099.147.099.500
Port Katelynchester;;;;
6.915.564.581.411.940;7.392.177.280.949.950;4.31;4.080.813.620.627.180;14.570.226.303.982.600
South Jeffreychester;;;;
7.685.037.944.035.770;6.376.401.250.633.990;4.04;363.334.814.718.268;13.156.668.739.232.100
Mollyport;;;;
7.086.671.678.758.070;5.728.607.327.546.820;2.45;24.511.819.984.541.100;8.857.097.642.844.070
Juarezport;;;;
5.402.810.097.118.380;61.880.168.844.416.200;3.2;31.319.536.026.881.000;5.666.458.578.321.560
"APO AA 89838""";;;;
6.431.531.047.251.950;6.389.380.953.832.300;2.1;34.940.354.757.964.000;10.881.762.005.164.600
Colleenport;;;;
663.746.873.331.831;6.184.767.912.679.880;3.11;36.809.124.933.124.800;11.057.374.615.438.400
New Laurenbury;;;;
63.221.915.038.390.400;78.304.721.222.756.500;4.3;4.434.842.034.110.970;1.571.664.903.072.990
North Susan;;;;
8.041.754.394.056.080;68.370.511.326.338.600;4.32;4.452.398.908.958.200;1.412.144.508.444.230
Jillstad;;;;
7.305.395.321.820.080;66.731.424.629.307;4.3;4.168.651.892.676.080;12.207.241.772.550.100
Christinaburgh;;;;
62.948.735.708.221.400;6.974.424.476.247.380;4.49;30.494.509.613.660.400;10.119.096.944.313.400
East Kimberly;;;;
59.037.609.238.296.100;7.701.775.147.661.500;5.41;26.234.109.543.669.100;6.859.223.851.784.460
"FPO AA 60918""";;;;
6.731.474.487.545.370;6.068.082.980.959.190;4.26;31.872.776.299.578.600;11.751.906.729.764.700
New Manuel;;;;
5.871.448.145.280.110;8.114.656.742.097.010;5.28;3.276.293.645.956.880;1.053.891.644.863.870
Port Larrychester;;;;
7.828.651.791.154.480;7.465.136.433.191.360;5.29;42.425.776.351.988.300;13.605.022.488.120.400
Port Staceyberg;;;;
6.878.520.331.161.430;6.599.607.811.111.120;4.03;48.564.798.543.037.600;14.090.389.871.176.300
Port Jason;;;;
6.297.072.143.101.840;6.596.973.061.190.940;2.48;14.241.248.769.710.800;5.477.945.711.922.580
South Joseph;;;;
850.481.958.672.361;6.492.893.172.332.440;4.38;23.662.584.871.155.300;12.114.429.407.654.200
Matthewmouth;;;;
8.242.505.337.075.940;5.698.082.517.635.240;2.36;4.102.043.966.181.270;14.032.962.576.075.100
East Jeffreyshire;;;;
6.881.720.235.615.300;5.330.557.139.674.250;4.07;3.562.167.753.524.410;1.125.696.862.367.810
Port Seth;;;;
63.170.382.179.153.600;4.887.183.995.236.430;2.09;4.434.507.695.684.970;1.067.191.979.946.470
Warnerport;;;;
6.694.379.999.336.340;6.826.493.607.848.880;3.03;2.898.451.021.023.500;7.862.577.826.468.860
Tammyview;;;;
7.459.128.235.244.800;6.826.686.285.155.480;3.19;28.860.945.342.497.100;13.410.691.598.099.000
South Deborahmouth;;;;
62.302.063.847.931.000;74.843.437.000.973.000;3.44;40.291.194.487.650.200;7.777.188.986.485.400
North Katelynmouth;;;;
6.755.966.671.510.450;715.796.357.836.116;5.05;3.248.756.767.239.100;15.394.654.196.773.800
Jasmineland;;;;
7.079.151.907.439.630;5.293.383.164.975.020;4.03;19.314.632.852.302.000;7.387.607.474.313.260
Richardmouth;;;;
6.101.550.783.881.380;5.725.160.307.712.820;4.16;3.958.822.954.332.950;7.771.442.542.493.440
Port Darren;;;;
6.501.321.244.619.440;759.132.805.238.124;3.13;2.303.988.947.399.940;1.131.040.702.324.240
Castillohaven;;;;
5.917.986.860.424.140;6.519.249.286.816.650;2.45;3.354.955.306.031.760;8.927.180.910.073.870
Lake Edward;;;;
44.426.262.982.377.600;8.312.282.104.966.860;3.06;55.838.913.085.095;13.444.069.301.585.500
Lake Katherineville;;;;
52.890.045.824.874.300;8.859.650.987.297.180;3.21;27.165.233.949.889.900;1.174.949.860.790.670
Sarahshire;;;;
57.896.603.212.875.900;763.144.739.569.546;6.3;3.596.062.566.152.460;9.480.540.086.787.430
North Loriside;;;;
6.754.816.810.215.080;8.194.381.042.321.530;3.4;5.021.373.855.557.280;1.432.902.752.871.870
"APO AA 84455""";;;;
7.200.919.847.289.930;6.861.739.180.453.390;3.49;59.313.739.116.675.000;16.499.471.597.520.100
Lake Leslie;;;;
5.014.364.485.404.660;7.979.249.997.307.830;4.04;6.760.122.355.787.530;11.685.880.313.207.700
Wongbury;;;;
63.335.794.905.723.600;630.811.423.776.209;3.44;35.469.028.665.063.200;1.172.514.722.473.980
Lewisport;;;;
660.831.659.010.237;8.908.380.541.781.530;4.17;3.918.599.503.431.210;1.051.173.464.898.880
New Staceyville;;;;
685.771.097.331.161;64.349.356.664.886.200;3.29;23.927.331.921.404.400;12.357.475.115.915.600
Port Ianport;;;;
6.960.554.454.964.390;6.557.256.314.688.040;2.13;17.597.041.128.088.400;9.840.107.052.899.190
Lynnstad;;;;
5.727.671.909.775.030;5.530.624.743.932.090;3.47;35.374.249.175.688.300;1.210.610.162.569.620
East Mark;;;;
7.368.248.620.872.090;5.347.027.061.136.250;2.22;34.366.180.100.207.700;7.660.783.707.692.810
South Karen;;;;
7.405.656.913.728.930;5.892.268.713.196.150;3.09;38.822.834.185.572.100;123.463.645.181.904
"FPO AP 61349-9468""";;;;
6.032.598.587.645.330;7.647.438.609.327.310;6.45;3.841.805.830.161.850;13.643.067.686.809.900
Kleinfort;;;;
8.485.116.007.094.850;62.061.565.121.494.600;2.48;34.265.526.373.154.200;14.293.833.521.743.200
New Howard;;;;
7.400.882.755.503.600;9.066.515.985.284.330;5.28;32.743.780.296.527.100;1.680.788.286.557.630
Lake Mary;;;;
6.405.944.247.458.280;5.935.699.281.251.120;3.12;2.786.599.607.169.870;8.848.914.955.195.280
New Joshuastad;;;;
7.157.912.640.125.250;6.166.459.076.857.580;2.44;4.013.054.076.802.460;11.985.728.663.002.500
"DPO AP 93389-0125""";;;;
6.473.012.677.441.360;5.761.823.456.201.780;2.37;318.793.238.429.842;9.969.246.914.267.280
West Lorraine;;;;
7.076.342.359.718.740;6.982.497.610.327.780;4.43;2.987.398.841.378.590;14.174.033.118.605.600
South Catherine;;;;
6.207.207.255.375.160;6.992.438.008.457.400;4.33;2.385.396.780.955.990;5.499.472.482.470.630
East Trevormouth;;;;
6.320.968.886.557.070;8.692.817.878.287.430;4.24;3.396.767.290.102.510;1.241.699.117.121.410
Clementsport;;;;
6.100.910.934.964.230;7.083.002.537.051.170;3.41;6.030.912.224.887.080;12.586.862.857.108.000
East Jacob;;;;
6.256.676.280.453.740;5.828.975.487.352.790;4.28;2.671.760.493.405.670;11.441.777.760.016.700
West Donnaburgh;;;;
60.426.509.695.852.000;8.845.689.955.567.380;6.08;46.776.736.347.512.600;1.518.387.141.646.830
Davidsonville;;;;
56.349.974.924.823.400;6.694.668.418.515.630;4.04;31.048.990.833.251.600;5.925.124.283.228.120
Montgomerychester;;;;
6.582.733.514.166.250;5.980.715.519.973.780;3.14;46.346.623.303.622.300;12.835.904.588.727.600
Burnsfort;;;;
633.767.077.650.188;643.747.844.833.822;3.16;29.743.593.204.449.800;10.140.933.099.646.200
Port Johnmouth;;;;
7.727.576.626.715.590;8.027.765.078.044.930;3.31;4.116.233.782.851.700;15.351.520.737.169.100
Gallegostown;;;;
6.805.706.580.158.100;7.883.018.683.929.480;6.2;5.254.782.916.618.430;17.545.761.455.501.200
East James;;;;
5.982.879.510.760.380;8.061.237.873.600.600;3.5;4.759.082.639.046.080;13.849.656.541.746.500
Robertside;;;;
6.567.220.442.198.510;6.122.157.594.401.240;4.08;34.640.722.367.741.500;5.542.530.540.102.990
New Felicia;;;;
6.666.732.548.539.340;8.348.953.132.924.070;6.29;3.719.829.197.986.910;15.024.511.137.147.000
"FPO AE 22417""";;;;
7.807.494.799.318.890;7.735.931.940.846.420;4.06;5.805.160.065.964.040;19.308.029.189.611.100
Garciaburgh;;;;
7.791.135.703.296.850;5.058.696.699.648.510;3.04;4.279.534.656.456.840;13.098.600.588.041.700
"FPO AP 49380""";;;;
7.037.849.162.907.040;51.658.672.554.990.600;2.35;31.646.377.686.064.400;1.110.525.988.673.920
Nguyenmouth;;;;
628.451.068.407.475;73.915.492.022.708.500;4.26;4.460.426.897.237.870;15.433.574.535.105.100
"DPO AE 44963""";;;;
6.969.951.876.567.460;8.239.588.501.733.210;3.06;472.488.140.473.671;17.364.424.799.782.600
Nicolemouth;;;;
7.547.751.718.033.750;7.057.809.809.825.170;5.03;18.878.799.277.728.700;1.370.367.787.954.930
Lopezchester;;;;
7.975.029.602.918.130;7.092.517.458.319.360;4.15;3.608.510.107.592.730;16.149.164.686.238.200
"FPO AE 74379-7138""";;;;
6.361.789.554.950.070;4.932.617.458.179.230;4.46;30.692.916.903.186.300;11.244.630.404.031.800
Atkinsonmouth;;;;
715.011.388.030.428;706.003.804.578.331;5.26;4.442.815.289.859.160;12.933.838.900.123.000
Kevinside;;;;
8.157.054.115.365.460;7.371.143.087.698.160;6.29;32.485.409.624.406.700;147.296.781.431.064
New Tanya;;;;
6.027.045.484.733.540;7.256.684.297.016.440;4.21;269.455.749.196.884;10.098.099.835.965.400
Davidshire;;;;
6.640.779.144.693.590;58.587.970.562.043.400;2.0;38.707.525.519.019.900;12.170.612.536.475.800
West Ronald;;;;
7.447.933.775.797.440;52.548.729.822.184.200;3.33;34.615.956.052.742.400;16.373.353.027.885.600
Brooksport;;;;
7.183.074.646.203.380;8.783.063.591.091.810;6.1;3.993.980.324.526.180;1.570.904.977.234.050
Stephanieton;;;;
758.696.548.185.226;5.793.122.826.461.670;2.24;27.606.007.209.163.000;10.026.908.993.032.300
Lake Ashley;;;;
757.747.184.997.744;7.633.608.652.731.830;6.32;4.450.860.305.885.180;18.145.509.014.238.700
Tinabury;;;;
7.517.465.806.736.560;8.534.244.916.223.810;5.16;40.179.165.703.516.100;16.770.051.404.360.300
"FPO AA 96735-0763""";;;;
7.368.894.660.693.120;5.800.783.311.874.130;4.13;38.977.465.117.063.900;11.732.015.189.552.500
Leeside;;;;
5.340.927.697.740.520;7.274.836.553.392.960;4.02;22.522.881.604.144.300;860.346.470.698.685
Josephberg;;;;
5.916.763.539.574.420;603.937.781.748.979;3.46;3.949.612.756.152.630;6.317.127.237.814.890
North Tiffanyfort;;;;
694.291.857.744.442;71.040.425.555.313.800;3.11;4.482.234.840.229.020;13.309.294.721.535.800
East Ashley;;;;
5.336.502.398.381.290;7.886.904.601.333.990;5.02;3.641.923.410.532.800;879.356.366.048.286
South Garyburgh;;;;
59.114.196.108.359.300;577.633.034.131.683;3.14;4.048.833.347.782.320;6.354.193.652.163.020
Hensleyland;;;;
6.314.362.270.916.700;7.306.289.419.553.310;6.43;33.577.509.513.265.500;10.854.948.201.108.600
Johnbury;;;;
709.569.997.153.261;6.660.050.611.288.530;2.38;27.811.639.086.196.500;10.246.015.627.539.200
New Valerieberg;;;;
6.619.749.128.664.300;5.307.994.551.599.040;4.14;35.919.854.088.494.800;7.018.657.729.563.160
Lake Rachaelchester;;;;
6.449.727.098.843.090;634.437.964.245.266;3.12;30.018.120.563.357.200;9.426.639.415.375.700
North Mary;;;;
8.094.810.987.544.040;7.925.612.282.069.820;4.41;32.517.531.411.396.300;1.838.092.102.498.860
"APO AP 39400""";;;;
7.719.394.342.456.000;71.701.688.895.413;5.31;19.630.019.906.330.600;1.065.150.786.753.820
Williamsview;;;;
5.887.427.384.348.150;6.645.741.991.377.000;2.11;1.977.252.166.224.900;8.495.660.855.445.920
Debrafort;;;;
6.712.333.363.278.570;6.856.949.348.679.010;3.23;2.772.552.718.039.470;9.498.925.313.701.810
South Josemouth;;;;
7.164.246.377.505.620;7.074.909.961.041.230;4.03;2.772.703.253.020.410;12.949.674.107.378.700
East Michaelside;;;;
7.461.482.449.391.710;5.963.194.701.396.520;4.31;4.607.044.339.618.710;10.338.811.348.005.300
Tiffanyborough;;;;
6.335.860.592.127.300;7.486.757.259.256.220;4.32;3.857.527.319.774.990;12.807.004.032.528.400
Banksview;;;;
6.859.599.771.837.080;5.911.061.464.211.230;2.09;55.323.957.258.165.500;13.888.401.738.697.600
Lake Stacyshire;;;;
8.166.878.943.126.230;8.403.683.120.610.920;5.02;28.884.050.913.090.500;1.940.225.907.504.850
Davismouth;;;;
803.790.553.582.093;44.073.460.820.254;4.12;54.143.328.703.222.600;15.868.899.946.311.700
Orozcoville;;;;
5.919.532.586.541.850;7.868.771.957.186.920;3.24;30.774.753.138.820.600;9.620.814.199.995.690
New Kimberlyfort;;;;
5.690.983.476.191.140;7.615.188.105.390.920;4.09;367.941.993.721.251;10.497.987.849.306.100
New Susanside;;;;
669.593.398.311.588;6.394.880.318.397.700;2.27;360.430.204.889.754;10.407.817.953.593.300
West Carly;;;;
52.267.247.345.253.500;8.512.295.113.269.200;3.48;2.598.351.969.899.310;11.003.802.606.381.500
Kathleenhaven;;;;
3.886.825.031.141.420;8.966.905.968.027.210;4.22;25.432.076.772.615.200;7.590.446.879.907.800
Stevenport;;;;
6.746.629.858.151.790;5.816.436.332.604.020;4.09;47.444.712.829.544.200;12.837.647.877.560.800
Butlermouth;;;;
6.745.308.130.871.900;5.552.289.861.955.950;2.09;4.908.596.278.053.360;11.629.496.789.860.200
Austinshire;;;;
6.440.564.944.108.390;7.879.408.466.443.650;6.12;4.261.153.970.337.930;14.209.791.842.857.000
Hineston;;;;
6.248.590.147.331.850;7.236.661.163.327.130;3.29;32.428.125.772.874.300;9.726.708.133.224.320
"DPO AA 36548-9176""";;;;
8.461.354.293.114.360;6.809.069.105.967.260;4.18;4.348.069.970.513.800;1.804.243.860.448.440
Christinaburgh;;;;
69.616.213.553.575;7.400.706.763.677.160;6.38;14.476.760.640.569.600;8.368.835.652.618.490
Padillamouth;;;;
6.817.377.438.815.020;7.066.208.738.373.220;3.16;57.699.957.556.293.000;1.294.647.589.167.180
Evanschester;;;;
8.043.103.559.719.810;6.322.610.857.377.090;4.05;3.461.559.848.631.730;1.300.479.133.270.030
West Juliehaven;;;;
660.985.707.230.868;6.586.904.028.286.050;2.13;28.433.850.349.050.700;10.403.769.951.696.100
"FPO AE 96158-4679""";;;;
63.866.367.904.716.500;58.624.478.709.742.600;2.02;33.288.958.422.756.000;1.193.253.801.043.330
North Johnport;;;;
7.696.077.907.314.260;7.446.546.031.739.210;3.21;55.375.668.214.554.800;1.618.127.606.868.060
West Richard;;;;
7.559.570.206.669.920;6.689.793.898.850.260;3.4;30.177.117.964.735.500;11.138.565.433.985.600
Stephanieshire;;;;
6.821.414.095.022.630;7.619.593.756.902.450;5.29;3.731.166.414.199.760;17.062.919.905.593.200
East Stevenville;;;;
5.088.191.066.731.860;5.122.241.484.135.610;3.22;3.577.729.468.922.660;6.586.446.170.003.230
Laurieshire;;;;
63.780.997.900.344.800;7.769.067.706.774.430;5.02;35.056.448.340.904.500;1.168.993.737.583.560
Ericport;;;;
7.319.343.592.771.650;51.159.451.642.401.300;4.08;3.570.776.230.138.240;1.123.209.854.692.960
New Steven;;;;
7.387.567.600.873.920;6.499.533.594.709.240;2.09;3.433.242.096.296.780;9.158.184.531.215.570
New John;;;;
7.640.250.507.854.180;6.404.665.038.588.420;3.24;30.636.461.576.853.900;1.134.142.915.960.400
"FPO AE 74737-2918""";;;;
7.622.179.299.596.160;8.299.836.440.881.590;3.16;30.324.191.427.735.400;15.897.654.967.532.000
Cooperfurt;;;;
5.363.031.680.608.390;7.048.169.832.187.440;3.06;4.335.857.050.129.890;5.525.853.540.991.660
East Justin;;;;
7.048.878.280.531.150;7.476.301.523.547.850;6.33;38.326.003.364.693.200;13.529.171.768.613.900
East Juanland;;;;
7.614.922.101.585.670;73.836.747.601.359.900;4.31;3.053.299.239.461.200;10.432.812.900.746.900
North Audrey;;;;
63.748.242.480.029.200;8.535.923.451.398.700;6.21;47.926.408.018.486.300;15.894.311.706.642.600
Gillside;;;;
7.303.822.482.195.130;6.916.142.757.909.950;4.47;32.508.909.733.374.800;1.348.883.321.478.540
Stevenbury;;;;
7.699.281.883.593.930;60.493.319.622.805.800;4.46;24.874.035.123.603.600;1.212.440.289.762.940
Port Rogerberg;;;;
8.951.091.582.488.510;8.216.263.423.492.900;6.48;2.976.644.406.565.300;1.580.727.450.288.830
Cassandraport;;;;
7.043.839.363.061.760;6.558.826.706.400.860;3.2;29.990.625.356.028.500;12.152.884.895.118.700
Roberttown;;;;
64.345.071.431.388.100;670.769.183.182.496;3.18;4.862.116.851.455.850;1.391.788.848.669.400
Christinaton;;;;
6.590.147.709.176.510;8.103.837.628.470.540;6.35;32.810.137.953.824.000;1.127.248.610.233.680
"DPO AE 09658""";;;;
5.885.802.165.289.840;7.471.432.115.189.870;5.24;2.397.858.886.254.730;12.346.097.389.082.900
"FPO AE 78902-0715""";;;;
59.716.583.074.513.500;446.053.037.010.385;2.01;4.985.949.906.564.390;9.362.343.475.902.010
Vanessamouth;;;;
8.911.270.262.747.670;8.015.034.156.691.020;3.46;29.673.022.640.316.400;18.523.384.692.459.600
Jessicaview;;;;
8.552.289.107.883.610;9.024.116.447.046.350;4.37;4.925.785.110.255.150;2.009.937.702.628.420
East Tracichester;;;;
5.000.504.874.907.940;5.869.941.434.729.980;4.48;32.614.777.078.136.100;8.281.270.276.465.770
Leslieport;;;;
714.913.810.835.551;8.904.454.700.456.860;3.41;4.263.183.697.653.530;16.611.195.006.279.600
Howardfurt;;;;
6.560.860.770.523.310;6.739.623.392.097.010;3.15;28.774.426.681.712.900;12.959.014.544.655.800
Smithville;;;;
6.543.132.479.947.330;7.538.284.110.174.440;6.43;23.365.444.619.027.300;9.896.430.313.890.130
West Mark;;;;
8.190.950.692.571.550;6.633.944.573.755.240;2.0;30.777.970.174.965.600;17.885.158.176.129.300
Millerside;;;;
8.251.429.918.256.670;7.791.624.953.475.850;5.09;32.252.143.697.864.400;1.814.855.154.882.520
"DPO AA 82069""";;;;
7.276.493.092.249.350;7.998.324.470.099.390;5.07;19.595.963.683.816.500;11.707.051.662.407.700
New Julie;;;;
5.528.883.744.723.070;8.345.217.341.917.620;6.41;31.144.655.211.640.500;10.907.889.812.340.600
Lydiashire;;;;
5.942.035.325.682.540;57.637.879.575.065.900;2.25;20.691.478.784.955.600;440.585.029.390.805
East Donald;;;;
59.042.577.062.215.800;6.439.651.108.808.350;4.5;33.182.436.276.466.900;10.294.392.338.632.800
Katherinestad;;;;
7.665.059.036.539.550;701.533.955.003.256;6.08;3.633.395.284.776.670;8.281.209.549.888.150
New John;;;;
5.991.282.390.447.940;5.806.265.554.895.540;2.02;38.092.927.604.245.200;9.852.838.815.578.340
South Robert;;;;
6.954.412.817.233.510;6.143.545.198.018.450;4.29;2.707.152.902.968.230;8.790.625.907.073.610
Bryanburgh;;;;
5.658.823.691.993.500;52.304.512.739.777.500;4.32;3.813.246.448.381.970;6.094.027.752.548.890
East Pamelastad;;;;
6.626.951.276.858.460;8.191.502.632.409.730;3.26;1.811.457.521.760.270;11.688.591.171.821.900
Butlerberg;;;;
7.489.093.612.236.230;6.999.044.967.279.510;2.3;25.333.870.846.737.800;1.307.506.565.069.190
Mccannview;;;;
7.105.369.195.811.620;74.459.038.656.481.900;6.48;29.359.205.165.938.400;13.572.505.712.569.500
Gutierrezside;;;;
60.721.095.730.818.800;6.942.446.144.234.530;4.2;29.978.659.090.138.400;11.816.306.251.696.300
South Shannon;;;;
7.020.438.624.956.240;6.494.966.550.461.520;4.11;38.773.094.068.790.900;1.294.615.007.746.150
North Richardstad;;;;
6.234.725.084.925.430;7.408.145.957.267.080;5.42;37.499.005.495.723.100;9.116.561.052.977.760
West Jonathan;;;;
7.368.859.397.101.670;7.576.034.014.515.250;3.42;30.994.799.892.813.800;11.493.276.559.655.100
"FPO AA 61423-8670""";;;;
4.568.524.992.050.680;8.093.672.080.189.980;5.02;30.345.590.159.275.200;8.677.143.838.490.510
Adamhaven;;;;
7.068.936.433.873.170;6.462.900.464.634.880;3.29;21.350.099.745.626.700;9.730.685.570.349.520
"APO AA 57159""";;;;
7.451.079.036.006.420;7.930.393.266.173.170;5.19;9.579.071.782.191.330;1.084.408.439.953.590
Gouldville;;;;
984.682.536.411.164;6.629.233.450.463.280;3.05;5.067.631.240.393.800;2.275.455.305.532.430
"FPO AA 45311-5701""";;;;
6.927.504.729.227.890;62.504.476.842.795.900;2.5;40.144.750.605.600.900;12.332.051.955.834.100
Bryantown;;;;
6.596.970.703.570.780;802.096.550.654.236;4.09;61.772.756.809.729.300;1.906.024.636.485.010
Emilyland;;;;
6.589.766.157.033.300;6.520.119.623.924.610;3.01;4.966.760.637.239.990;14.126.265.187.417.800
Lake Andreaview;;;;
7.211.050.498.821.940;705.024.196.888.111;5.33;23.411.945.541.614.000;12.087.610.558.371.500
Moniquemouth;;;;
8.206.966.060.213.210;6.368.112.907.902.260;2.38;4.700.549.680.624.220;17.109.243.665.235.300
North Veronica;;;;
47.422.745.824.961.800;533.653.468.129.093;2.16;4.277.140.597.993.060;7.501.197.266.122.980
Sandovalland;;;;
7.171.379.826.282.830;7.845.240.395.202.440;6.15;26.861.133.360.088.200;13.618.288.480.482.400
Gonzalesborough;;;;
4.234.816.245.991.480;8.386.485.035.671.620;6.41;3.360.969.466.408.830;9.047.851.631.560.350
South Juanport;;;;
6.139.305.011.478.870;78.672.555.873.471.900;6.33;4.425.890.193.469.920;9.801.412.191.076.670
"APO AP 94869-0746""";;;;
63.783.531.301.346.500;6.429.997.120.518.370;2.0;32.620.407.322.138.100;798.254.224.544.436
Lake Frank;;;;
5.980.315.371.008.610;6.908.628.308.836.750;4.05;3.078.830.390.967.840;10.265.058.205.659.100
Billyland;;;;
9.220.121.432.538.640;6.451.213.999.225.730;4.03;4.545.228.027.793.770;16.923.359.636.187.900
Christineburgh;;;;
7.596.713.508.467.080;6.111.658.422.464.460;2.32;3.889.709.158.352.110;14.055.052.437.013.900
New Michelle;;;;
6.130.028.127.599.710;711.145.100.024.237;3.35;3.392.263.297.726.550;9.461.820.501.766.270
Port Mariafort;;;;
7.769.500.496.273.570;6.309.415.619.644.630;2.34;4.212.253.514.525.110;17.237.750.141.179.900
Watkinsshire;;;;
6.676.439.845.179.230;8.646.249.013.675.770;6.18;28.467.211.441.719.500;12.384.061.897.839.500
East Mary;;;;
5.673.415.695.289.000;7.572.747.246.684.970;6.45;3.545.259.150.868.680;13.171.604.026.229.300
Hodgeston;;;;
6.613.817.282.013.530;71.779.241.110.786.800;4.42;40.675.798.366.350.900;11.557.527.447.402.500
Wernerbury;;;;
4.874.715.504.990.710;8.847.507.024.965.120;5.49;312.669.018.514.715;10.400.866.640.810.200
Kevinshire;;;;
7.310.121.864.040.070;7.385.125.178.238.620;6.32;3.999.846.263.965.600;12.669.472.639.766.400
East Kelseyport;;;;
6.924.880.773.561.160;669.976.851.029.951;3.5;5.777.129.234.618.030;14.222.309.601.239.900
South Julia;;;;
49.825.848.845.636.400;8.384.392.014.902.950;6.15;46.399.809.594.078.500;12.247.786.227.969.700
Port Margaret;;;;
6.755.722.184.973.630;61.938.354.626.932.800;2.49;1.846.881.419.066.530;973.096.358.177.584
Bentleyshire;;;;
5.904.780.267.972.590;7.533.733.419.478.570;3.36;2.636.514.508.953.700;51.225.280.350.649.100
Dannyland;;;;
6.088.938.964.863.390;6.410.508.878.678.820;3.47;329.976.389.320.505;9.064.193.179.021.330
Deannafort;;;;
7.540.922.438.189.840;7.327.348.646.902.150;3.32;33.413.265.678.238.600;11.146.672.494.865.100
Davidville;;;;
60.770.074.307.884.800;6.982.130.878.816.010;2.07;3.804.713.038.231.260;12.783.657.674.917.700
East Amberberg;;;;
9.210.680.386.629.570;6.751.435.034.865.610;4.1;3.248.335.909.071.180;17.206.708.768.427.800
Johnberg;;;;
7.725.668.329.698.930;7.377.008.766.712.190;4.35;31.886.710.202.994.000;1.534.295.195.012.710
South Markberg;;;;
6.907.189.936.002.920;7.081.538.687.958.890;3.12;32.106.894.756.136.700;1.066.040.788.657.330
Geneshire;;;;
7.981.766.576.143.100;807.378.651.066.167;5.41;31.765.901.385.296.500;142.839.900.213.912
"APO AE 76349""";;;;
8.517.282.909.359.930;551.304.036.942.652;2.17;26.018.015.641.642.600;8.554.239.840.217.030
Heathermouth;;;;
6.376.546.965.581.960;5.911.176.411.361.340;2.2;4.486.371.497.883.530;8.530.841.522.068.820
Watkinsbury;;;;
7.102.817.589.616.710;6.623.775.713.977.670;2.5;43.922.630.171.674.600;9.346.103.953.348.840
East Colin;;;;
8.268.123.684.218.790;7.938.067.847.088.110;3.4;3.005.486.206.297.020;1.571.781.593.335.200
"DPO AA 32148""";;;;
49.435.535.834.113.300;605.251.825.489.048;3.34;4.344.199.643.201.680;9.271.638.119.484.540
West Kara;;;;
6.913.968.322.011.230;67.945.718.590.845.600;4.49;296.838.091.053.493;12.275.689.580.227.900
South Russellside;;;;
5.264.247.988.231.870;71.640.725.835.748.700;4.46;5.013.301.508.358.670;6.718.020.395.152.960
East Danielle;;;;
8.834.595.978.420.930;5.783.362.387.739.250;3.06;41.216.264.157.753.600;17.059.181.795.099.600
Lake Mark;;;;
7.055.883.906.865.650;7.589.187.928.339.910;5.43;24.867.497.639.902.300;1.198.915.942.820.410
New Chelseaville;;;;
5.524.258.868.143.590;7.874.598.832.698.020;4.29;4.881.288.400.793.360;1.230.097.450.945.000
"FPO AP 84604""";;;;
5.080.266.614.705.410;6.911.358.154.145.820;4.18;2.372.578.271.098.910;7.646.359.979.283.080
Gonzalezview;;;;
7.970.074.255.198.700;8.669.263.645.202.730;6.38;3.134.874.098.431.600;1.553.854.434.199.950
Brookefort;;;;
6.840.024.174.804.790;67.217.139.141.379.100;3.2;5.198.870.352.997.080;14.519.306.312.860.200
Petersonview;;;;
5.910.728.758.465.260;64.452.336.122.050.000;2.29;37.556.107.485.759.000;106.349.181.022.042
North Lisa;;;;
7.165.045.939.904.440;6.572.702.262.644.920;4.03;3.392.542.448.863.950;12.261.807.679.891.700
Shannonfurt;;;;
51.168.428.594.576.400;7.083.326.348.200.460;3.1;30.369.193.120.203.800;12.209.870.020.716.000
West Davidfurt;;;;
8.263.533.923.773.140;7.068.895.569.470.300;6.48;3.377.024.452.066.370;14.802.275.472.434.300
Jonathanmouth;;;;
7.612.601.026.504.590;53.884.627.846.188.700;4.48;5.105.451.591.462.270;1.641.873.966.286.830
South Andrew;;;;
